number,broad,fine
1,progenitors,NPC
2,progenitors,NPC
3,progenitors,NPC
4,progenitors,NPC_GSTA4_ENO1_GBE1
5,OPC,OPC
6,OPC,OPC
7,MFOL,MFOL
8,OPC,OPC
9,progenitors,NPC
10,progenitors,NPC_PAX6_NKX6-1
11,neurons,inhibitory_neurons
12,pericytes,pericytes
13,neurons,inhibitory_neurons
14,progenitors,NPC_GSTA4_ENO1_GBE1
15,neurons,excitatory_neurons
16,OPC,OPC
17,OPC,OPC
18,RP,RP
19,RP,RP
20,neurons,inhibitory_neurons
21,neurons,inhibitory_neurons
22,progenitors,NPC_ventral
23,FP,FP
24,neurons,neurons
25,neurons,excitatory_neurons
26,blood,blood
27,progenitors,NPC_ribo
28,microglia,microglia
29,vasculature,vasculature
